N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
98,85,191,6,1.45,0.28,14.47,179.63,85.79,47.76,65.83,mango
95,87,141,4.8,0.88,0.27,18.63,71.11,64.77,20.86,58.64,mango
107,79,127,5.7,0.75,0.25,9.46,80.98,89.12,29.14,60.91,mango
123,74,134,6,0.83,0.31,19.9,140.22,99.24,23.29,70.52,mango
93,73,139,6.4,1.05,0.18,18.34,191.43,54.99,37.53,54.89,mango
137,74,188,6.1,0.57,0.17,15.44,84.83,51.88,50,69.45,mango
145,84,191,5.1,1.07,0.19,15.6,50.27,64.46,38.88,66.69,mango
86,83,143,5.7,0.89,0.34,13.28,173.21,70.27,22.48,66.15,mango
148,76,197,6,0.87,0.22,15.81,110.14,65.92,20.69,55.41,mango
137,71,170,5.1,0.72,0.32,9.97,88.37,95.67,40.4,63.5,mango
131,81,149,4.8,1.44,0.16,16.96,64.95,72.87,47.96,61.14,mango
129,85,179,5.2,0.88,0.23,12.08,123.96,77.69,30.11,67.32,mango
86,80,195,6.8,1.22,0.21,19.53,62.65,55.71,22.56,64.69,mango
81,87,128,6.4,1.17,0.25,16.92,188.97,53.49,34.25,62.58,mango
127,80,163,5.6,1.3,0.21,12.3,173.53,63.03,44.37,65.89,mango
111,82,164,5.8,0.63,0.24,14.66,196.99,82.4,46.82,58.46,mango
100,82,159,5.4,0.55,0.2,14.32,148.77,61.36,40.08,68.78,mango
112,88,148,6.2,1.48,0.25,14.38,63.05,81.71,45,66.52,mango
89,77,156,5.2,0.82,0.27,12.54,100.06,86.28,45.08,62.04,mango
85,80,131,5,1.29,0.34,18.71,51.06,87.68,41.62,70.34,mango
118,70,153,5.7,1.08,0.24,11.09,162.31,84.41,27.58,69.93,mango
148,73,198,5.5,0.58,0.29,13.5,182.25,56.44,35.78,58.55,mango
82,86,136,6.8,1.28,0.23,17.82,107.04,88.46,20.84,66.11,mango
110,71,146,6.1,1.44,0.2,19.17,139.93,88.28,26.8,71.76,mango
109,76,182,5.1,1.39,0.31,12.91,85.58,60.77,39.58,72.53,mango
92,77,162,4.5,0.64,0.18,10.56,171.73,84.09,32.57,63.14,mango
138,86,149,5.9,0.65,0.21,12.61,145.64,85.73,49.73,58.16,mango
91,78,159,6.4,1.36,0.15,16.29,130.77,57.57,44.17,68.17,mango
132,87,195,4.5,0.94,0.31,18.19,72.44,88.09,44.92,74.56,mango
114,82,183,6.1,0.69,0.34,9.91,180.56,53.28,48.57,56.56,mango
128,89,184,6.5,0.8,0.31,17.45,122.21,95.92,46.73,57.67,mango
98,78,179,6.8,1.29,0.17,19.88,190.72,56.17,49.92,62.77,mango
91,80,132,5.4,0.81,0.32,9.63,99.14,72.69,42.77,50.03,mango
98,78,131,6.1,1.05,0.35,19.3,187.27,50.73,31.89,54.75,mango
97,84,183,4.6,1.4,0.26,8.42,173.88,92.04,31.31,51.5,mango
110,86,154,6.4,1.39,0.3,11.62,138.84,82.52,46.43,57.24,mango
102,89,160,5.3,1.09,0.29,8.66,178.86,66.75,29.77,73.99,mango
104,85,172,5.3,1.12,0.17,16.41,105.55,64.46,49.61,61.2,mango
139,74,125,6.7,0.77,0.25,17.53,97.52,52.55,27.09,62.16,mango
118,86,179,5.7,0.87,0.32,16.08,172.71,63.92,22.72,60.75,mango
128,73,123,4.7,1.42,0.35,10.33,56.62,72.65,34.1,56.43,mango
111,74,165,6.8,1.25,0.27,10.98,169.05,50.52,33.8,60.5,mango
